Uniprot_ID,log2 Fold Change,P.Value
Q8NL78,0.582922714,0.148851918
Q8NL80,-1.277312093,0.125218244
Q8NL82,-0.210605373,0.681146999
Q8NL87,-1.429884052,0.331845961
Q8NL89,-0.865953797,0.646266786
Q8NL91,-0.474551548,0.461438302
Q8NL92,-0.290918613,0.681761088
Q8NL93,0.598242921,0.538352037
Q8NL95,-0.056191863,0.92165488
Q8NL96,-0.541799928,0.467415773
Q8NL97,-0.859960804,0.099963387
Q8NLA2,0.978496414,0.148851918
Q8NLA4,0.04089002,0.946509119
Q8NLA6,1.285467164,0.723401046
Q8NLA7,-0.412129862,0.373054683
Q8NLA8,-0.129484748,0.875645134
Q8NLA9,0.415490601,0.714273303
Q8NLB0,0.149515706,0.791485497
Q8NLB1,-0.352562776,0.130291628
Q8NLB2,-0.197105393,0.679589676
Q8NLB4,-0.529279332,0.62329773
Q8NLB5,0.462298093,0.53462051
Q8NLC0,0.076549012,0.736453576
Q8NLC1,-0.149267283,0.70705555
Q8NLC4,0.253550294,0.625936653
Q8NLD0,-0.632708512,0.166194601
Q8NLD1,-0.514045466,0.137095578
Q8NLD4,0.193763808,0.551395781
Q8NLD5,-2.532728125,0.040464692
Q8NLD8,-0.436465077,0.082961603
Q8NLD9,0.167264295,0.615971816
Q8NLE2,0.6345369,0.278859964
Q8NLE3,0.442531744,0.269050678
Q8NLE4,-0.220988189,0.386916138
Q8NLE6,0.490656451,0.248273826
Q8NLE7,0.414117718,0.92867889
Q8NLE8,-0.642113671,0.805752693
Q8NLF0,-0.064926794,0.939849236
Q8NLF1,-0.522620842,0.272783037
Q8NLF2,0.424011964,0.710499244
Q8NLF3,0.15103197,0.85315168
Q8NLF4,0.173998638,0.279057592
Q8NLF6,-0.111461671,0.658352081
Q8NLF7,-0.640659037,0.682607533
Q8NLF9,0.500648765,0.099963387
Q8NLG0,1.093232656,0.231381684
Q8NLG1,-0.040093263,0.958870882
Q8NLG2,-0.343785493,0.298334191
Q8NLG3,0.588704085,0.127367037
Q8NLG4,0.036424079,0.950946079
Q8NLG5,-0.253532128,0.614845176
Q8NLG6,-1.031954606,0.338961312
Q8NLH1,-1.186083294,0.181479414
Q8NLH5,0.741358876,0.420973464
Q8NLH7,0.105574825,0.247827293
Q8NLI0,0.308462701,0.477163939
Q8NLI1,1.021129582,0.223976186
Q8NLI2,0.931879589,0.040464692
